date,description,amount,merchant
2026-02-19 18:13:07,direct deposit PayPal Transfer,-4395.19,PayPal Transfer
2026-02-19 18:12:22,flight booking Chevron,209.35,Chevron
2026-02-19 18:14:03,atm withdrawal Misc Store,112.84,Misc Store
2026-02-19 18:15:19,miscellaneous charge Local Shop,30.62,Local Shop
2026-02-19 18:14:42,movie night Steam,13.7,Steam
2026-02-19 18:14:55,lunch at Trader Joe's,21.7,Trader Joe's
2026-02-19 18:12:18,parking at Shell,3.14,Shell
2026-02-19 18:14:48,streaming service Hulu,50.62,Hulu
2026-02-19 18:17:27,coffee from McDonald's,28.25,McDonald's
2026-02-19 18:13:34,bonus payment PayPal Transfer,-4101.7,PayPal Transfer
2026-02-19 18:16:23,groceries at Trader Joe's,23.65,Trader Joe's
2026-02-19 18:15:25,home goods at Best Buy,44.31,Best Buy
2026-02-19 18:16:10,parking at Uber,12.68,Uber
2026-02-19 18:15:32,atm withdrawal Misc Store,84.63,Misc Store
2026-02-19 18:14:14,coffee from Chipotle,17.27,Chipotle
2026-02-19 18:13:00,parking at Shell,8.75,Shell
2026-02-19 18:12:09,transfer received Freelance Client,-3492.52,Freelance Client
2026-02-19 18:12:16,lunch at Whole Foods,90.23,Whole Foods
2026-02-19 18:12:12,flight booking Chevron,40.74,Chevron
2026-02-19 18:16:12,dental checkup at Dental Office,46.47,Dental Office
2026-02-19 18:16:37,game purchase Hulu,31.22,Hulu
2026-02-19 18:16:30,clothing from Walmart,62.15,Walmart
2026-02-19 18:16:54,phone payment AT&T,41.2,AT&T
2026-02-19 18:13:45,transfer received PayPal Transfer,-1824.62,PayPal Transfer
2026-02-19 18:15:38,monthly subscription Netflix,7.17,Netflix
2026-02-19 18:16:31,utility payment Comcast,15.44,Comcast
2026-02-19 18:12:23,pharmacy at CVS Pharmacy,27.28,CVS Pharmacy
2026-02-19 18:11:36,eye exam at Eye Center,58.41,Eye Center
2026-02-19 18:12:51,bonus payment Employer Inc,-2854.3,Employer Inc
2026-02-19 18:17:05,transfer received Employer Inc,-1166.85,Employer Inc
2026-02-19 18:16:26,ride to work Lyft,28.88,Lyft
2026-02-19 18:12:22,online order from Amazon,12.08,Amazon
2026-02-19 18:16:40,home goods at Walmart,20.33,Walmart
2026-02-19 18:12:38,pharmacy at Dental Office,55.72,Dental Office
2026-02-19 18:13:12,supplies from Target,50.72,Target
2026-02-19 18:12:36,internet service AT&T,15.1,AT&T
2026-02-19 18:16:54,online order from Walmart,12.9,Walmart
2026-02-19 18:16:34,pharmacy at Walgreens,10.37,Walgreens
2026-02-19 18:11:59,atm withdrawal Local Shop,18.18,Local Shop
2026-02-19 18:11:44,groceries at Trader Joe's,15.01,Trader Joe's
2026-02-19 18:16:20,prescription at Kaiser,26.98,Kaiser
2026-02-19 18:13:57,online order from Nike,41.33,Nike
2026-02-19 18:15:00,coffee from Chipotle,33.22,Chipotle
2026-02-19 18:15:25,game purchase Hulu,36.15,Hulu
2026-02-19 18:14:51,service fee Local Shop,85.33,Local Shop
2026-02-19 18:12:43,ride to work Delta Airlines,36.51,Delta Airlines
2026-02-19 18:13:27,freelance payment Freelance Client,-3055.61,Freelance Client
2026-02-19 18:15:11,dinner at Trader Joe's,59.46,Trader Joe's
2026-02-19 18:16:18,clothing from Best Buy,29.73,Best Buy
2026-02-19 18:13:37,toll payment Chevron,44.03,Chevron
2026-02-19 18:11:44,utility payment Comcast,22.91,Comcast
2026-02-19 18:12:28,lunch at McDonald's,143.32,McDonald's
2026-02-19 18:13:18,monthly bill Comcast,4.2,Comcast
2026-02-19 18:17:22,bonus payment PayPal Transfer,-3414.62,PayPal Transfer
2026-02-19 18:14:09,phone payment AT&T,20.98,AT&T
2026-02-19 18:14:35,dental checkup at Kaiser,74.18,Kaiser
2026-02-19 18:14:08,salary deposit Employer Inc,-817.82,Employer Inc
2026-02-19 18:16:47,eye exam at Walgreens,21.82,Walgreens
2026-02-19 18:16:24,flight booking Delta Airlines,65.24,Delta Airlines
2026-02-19 18:12:31,electronics from Best Buy,11.51,Best Buy
2026-02-19 18:15:35,insurance premium Verizon,12.01,Verizon
2026-02-19 18:14:53,concert tickets Hulu,28.5,Hulu
2026-02-19 18:16:59,home goods at Best Buy,31.57,Best Buy
2026-02-19 18:11:58,flight booking Uber,108.88,Uber
2026-02-19 18:15:04,prescription at Walgreens,17.71,Walgreens
2026-02-19 18:12:44,toll payment Shell,32.2,Shell
2026-02-19 18:15:00,coffee from Whole Foods,27.18,Whole Foods
2026-02-19 18:16:30,gas fillup at Uber,50.9,Uber
2026-02-19 18:14:12,parking at Delta Airlines,36.22,Delta Airlines
2026-02-19 18:14:48,wire transfer Government Fee,143.95,Government Fee
2026-02-19 18:13:47,home goods at Nike,18.64,Nike
2026-02-19 18:17:16,transfer received Freelance Client,-1750.37,Freelance Client
2026-02-19 18:16:46,groceries at McDonald's,75.8,McDonald's
2026-02-19 18:12:08,utility payment Verizon,43.82,Verizon
2026-02-19 18:11:51,supplies from Walmart,27.61,Walmart
2026-02-19 18:14:48,coffee from Chipotle,228.35,Chipotle
2026-02-19 18:13:28,phone payment AT&T,10.47,AT&T
2026-02-19 18:11:47,supplies from Amazon,32.02,Amazon
2026-02-19 18:15:39,insurance premium PG&E,29.05,PG&E
